DESCRIPTION,PROPERTY NAME,ESA,STREET START NR,STREET END NR,LOT PREFIX,LOT NUMBER,STREET_NAME,STREET TYPE,LOCALITY_NAME,STATE CODE,POST CODE,LONG  DEG,LONG  MIN,LONG SEC,EW HEM,LAT DEG,LAT MIN,LAT SEC,NS HEMI,AMG ZONE,EASTING,NORTHING,PMS CODE
,BALGOWLAH EXCHANGE,BALG,394,,,,SYDNEY,RD,BALGOWLAH,NSW,2093,151,15,47,E,33,47,36,S,56,339204,6259390,3170
,BALLALABA SCAX,BALA,,,,,CAPTAINS FLAT,RD,BALLALABA,NSW,2622,149,38,2,E,35,40,23,S,55,738400,6049123,3861
,BALLDALE SCAX,BLDE,,,,,KAVANAGH,ST,BALLDALE,NSW,2646,146,31,9,E,35,50,51,S,55,456569,6032862,788
CORNER FEDERATION STREET &,BALLIMORE SCAX,BLMR,,,,,BUNYIP,ST,BALLIMORE,NSW,2830,148,53,53,E,32,11,37,S,55,678926,6436532,12540
,BALLINA EXCHANGE,BLNA,,,,,MARTIN,ST,BALLINA,NSW,2478,153,35,45,E,28,51,20,S,56,558112,6807885,3173
CNR MONTAGUE ST,BALMAIN EXCHANGE,BALM,366,,,,DARLING,ST,BALMAIN,NSW,2041,151,10,39,E,33,51,25,S,56,331406,6252226,3177
,BALRANALD EXCHANGE & RT,BRLD,,,LOT,1,RIVER,ST,BALRANALD,NSW,2715,143,33,56,E,34,38,23,S,54,735151,6163918,3181
,BAMBILLA EXCHANGE,BAMB,,,,,,,BAMBILLA,NSW,2878,144,17,56,E,32,54,3,S,55,247366,6356473,
VIA CONDOBOLIN ON,BANAR SCAX,BANR,,,,,WYALONG-CONDOBLIN,RD,BANAR,NSW,2877,147,5,39,E,33,16,51,S,55,508779,6317581,796
,BANDON GROVE SCAX,BDGV,,,,,DUNGOG,RD,BANDON GROVE,NSW,2420,151,44,6,E,32,20,37,S,56,380960,6420784,802
,BANGALOW EXCHANGE,BANG,23,,,,LISMORE,RD,BANGALOW,NSW,2479,153,31,48,E,28,43,15,S,56,551757,6822842,3208
,BANKSTOWN EXCHANGE,BANK,18,,,,KITCHENER,PDE,BANKSTOWN,NSW,2200,151,1,55,E,33,55,1,S,56,318064,6245310,3188
NORTHWEST OF GOULBURN ON,BANNISTER SCAX,BANN,,,,,GOULBURN-CROOKWELL,RD,BANNISTER,NSW,2580,149,28,8,E,34,34,53,S,55,726467,6170614,3862
,BANORA POINT EXCHANGE,BRPT,9,,,,PIONEER,PDE,BANORA POINT,NSW,2486,153,32,42,E,28,12,50,S,56,553477,6878997,3191
BEHIND POST OFFICE IN,BARADINE EXCHANGE,BDNE,23,25,,,DARLING,ST,BARADINE,NSW,2396,149,4,0,E,30,56,56,S,55,697413,6574233,4174
CORNER MYALL STREET &,BARELLAN SCAX,BRLN,,,LOT,1,YAPUNYAH,ST,BARELLAN,NSW,2665,146,34,18,E,34,17,5,S,55,460575,6206189,808
CNR NOONGAN ST,BARGO EXCHANGE,BRGO,,,,,REMEMBRANCE,DR,BARGO,NSW,2574,150,34,32,E,34,17,27,S,56,276856,6202926,816
,BARHAM EXCHANGE,BHAM,,,LOT,2,NOORONG,ST,BARHAM,NSW,2732,144,7,38,E,35,37,46,S,55,239833,6053349,7848
35K SOUTH EAST OF WEST WYALONG,BARMEDMAN EAST SCAX,BMME,,,,,,,BARMEDMAN EAST,NSW,2668,147,32,18,E,34,7,58,S,55,549648,6222996,899
,BARMEDMAN SCAX,BMMN,,,LOT,7,QUEEN,ST,BARMEDMAN,NSW,2668,147,23,9,E,34,8,39,S,55,535582,6221797,911
