DESCRIPTION,PROPERTY NAME,ESA,STREET START NR,STREET END NR,LOT PREFIX,LOT NUMBER,STREET_NAME,STREET TYPE,LOCALITY_NAME,STATE CODE,POST CODE,LONG  DEG,LONG  MIN,LONG SEC,EW HEM,LAT DEG,LAT MIN,LAT SEC,NS HEMI,AMG ZONE,EASTING,NORTHING,PMS CODE
,TOLGA EXCHANGE,TOLG,,,,,MAIN,ST,TOLGA,QLD,4882,145,28,52,E,17,13,23,S,55,338501,8095120,2100
,TOOBANNA SCAX,TONA,,,,,TOOBANNA,ST,TOOBANNA VIA INGHAM,QLD,4850,146,9,1,E,18,43,13,S,55,410415,7929896,2104
,TOOBEAH SCAX,TOOB,,,,,HIGHWAY,ST,TOOBEAH,QLD,4498,149,52,18,E,28,25,0,S,55,781323,6853274,2106
,TOOGOOLAWAH EXCHANGE & LINE DE,TWAH,28,30,,,ABBOTSFORD,ST,TOOGOOLAWAH,QLD,4313,152,22,29,E,27,5,7,S,56,438006,7003958,2109
,TOOGOOM SCAX,TOGM,,,,,JEPPESEN,ST,TOOGOOM PARK VIA TORBANLEA,QLD,4662,152,41,33,E,25,15,22,S,56,469030,7206650,2112
,TOORBUL SCAX,TBUL,1294,,,,PUMICESTONE,RD,TOORBUL,QLD,4510,153,3,22,E,27,2,5,S,56,505561,7009711,2385
,TOOWONG EXCHANGE,TWOG,101,,,,JEPHSON,ST,TOOWONG,QLD,4066,152,59,23,E,27,29,16,S,56,498985,6959537,2138
CNR  2-4  WOODLAWN ST,TOOWOOMBA EXCHANGE,TOBF,157,,LOT,1,HUME,ST,TOOWOOMBA,QLD,4350,151,57,24,E,27,33,45,S,56,397011,6950830,2182
,TORQUAY TE,TQAY,5,7,,,MYLNE,CT,TORQUAY,QLD,4655,152,52,33,E,25,17,28,S,56,487495,7202804,2186
,TOWNSVILLE EXCHANGE,TNSF,22,,,,STURT,ST,TOWNSVILLE,QLD,4810,146,49,1,E,19,15,28,S,55,480763,7870639,2021
,TOWNSVILLE PALLARENDA SCAX,PALL,70,,,,WACKETT,ST,PALLARENDA,QLD,4810,146,46,18,E,19,12,18,S,55,475996,7876460,2018
,TREBONNE SCAX,TREB,10,,,,STONE RIVER,RD,TREBONNE,QLD,4850,146,4,45,E,18,37,36,S,55,402864,7940217,2025
,TRINITY BEACH TE,TRIN,,,,,CAPTAIN COOK,HWY,TRINITY BEACH,QLD,4879,145,41,22,E,16,48,1,S,55,360341,8142086,2027
,TUCHEKOI SCAX,TUCH,,,,,SKYRING CREEK,RD,MOTHAR MOUNTAIN VIA GYMPIE,QLD,4570,152,45,1,E,26,23,15,S,56,475087,7081370,2164
CNR BRANNIGAN ST,TULLY EXCHANGE & RT,TULF,,,LOT,14,HENRY,ST,TULLY,QLD,4854,145,55,21,E,17,55,46,S,55,385882,8017290,11458
,TUMMAVILLE SCAX,TUMM,,,,,WRIGHTS,RD,TUMMAVILLE VIA MILLMERRAN,QLD,4357,151,25,12,E,27,52,12,S,56,344452,6916187,2040
,TUNGAMULL RSS,TUNG,,,,,TUNGAMULL-CAWARRAL,RD,MOUNT WHEELER VIA ROCKHAMPTON,QLD,4700,150,41,29,E,23,18,40,S,56,263908,7420147,2042
,TURKEY BEACH SCAX & RT,TYBH,,,,,OFF TURKEY BEACH,RD,TURKEY BEACH,QLD,4678,151,38,3,E,24,5,36,S,56,361178,7334769,2043
,UBOBO SCAX,UBOB,,,,,HAWKE,ST,UBOBO,QLD,4680,151,18,2,E,24,22,36,S,56,327633,7303027,2051
,UPPER BARRON SCAX,UPBN,,,,,KENNEDY,HWY,UPPER BARRON VIA ATHERTON,QLD,4883,145,31,0,E,17,22,36,S,55,342413,8078151,2071
,UPPER CABOOLTURE TE,UPCA,718,,,,CABOOLTURE RIVER,RD,UPPER CABOOLTURE VIA CABOOLTUR,QLD,4510,152,53,15,E,27,7,9,S,56,488846,7000354,11800
,UPPER PILTON EXCHANGE,PILT,,,,,PICTON VALLEY,RD,PILTON,QLD,4361,152,2,57,E,27,52,2,S,56,406393,6917135,2126
,UPPER STONE SCAX,UPPE,,,,,OFF STONE RIVER,RD,UPPER STONE VIA INGHAM,QLD,4850,145,58,19,E,18,42,12,S,55,391602,7931672,2094
,UPPER WIDGEE SCAX,UPWI,,,,,WOOLOOGA,RD,THORNSIDE VIA GYMPIE,QLD,4570,152,26,22,E,26,12,31,S,56,443996,7101085,2085
,UPPER YARRAMAN SCAX,UPYA,,,,,NEW ENGLAND,HWY,COOYAR,QLD,4402,151,53,47,E,26,53,28,S,56,390393,7025140,2098
,VERESDALE EXCHANGE,VERE,,,,,MOUNT LINDSAY,HWY,WOODHILL,QLD,4285,152,58,59,E,27,54,32,S,56,498329,6912883,2153
,VETERAN SCAX,VETE,,,,,GRIMLEY,RD,NASH VIA GYMPIE,QLD,4570,152,42,20,E,26,8,3,S,56,470562,7109417,2156
,VICTORIA POINT EXCHANGE,VAPT,306,,,,COLBURN,AVE,VICTORIA POINT,QLD,4165,153,17,39,E,27,35,0,S,56,529024,6948906,2159
,WACOL EXCHANGE,WACL,1306,,LOT,1,BOUNDARY,RD,WACOL,QLD,4076,152,56,4,E,27,36,2,S,56,493527,6947036,2046
,WAGOORA SCAX,WAGO,,,,,WAGOORA-RISE,RD,BLOOMSBURY,QLD,4799,148,42,28,E,20,51,4,S,55,677680,7693376,2047
,WALKAMIN SCAX,WAIN,,,,,HIBISCUS,ST,WALKAMIN,QLD,4872,145,25,31,E,17,7,26,S,55,332474,8106062,2048
,WALKERSTON EXCHANGE,WKON,,,,,MCCOLL,ST,WALKERSTON,QLD,4751,149,2,55,E,21,9,25,S,55,712717,7659099,2052
,WALLANGARRA EXCHANGE,WALL,,,,,NEW ENGLAND,HWY,WALLANGARRA,QLD,4383,151,55,53,E,28,55,22,S,56,395836,6800093,2056
,WALLAVILLE SCAX,WALV,,,,,BRUCE,HWY,ST KILDA VIA GIN GIN,QLD,4671,151,58,23,E,25,4,25,S,56,396425,7226500,2058
,WALLOON EXCHANGE,WAON,2,,,,FARRELL,DR,WALLOON,QLD,4306,152,39,50,E,27,36,16,S,56,466830,6946562,2059
,WALLUMBILLA SCAX,WMBA,,,,,CHADFORD,ST,WALLUMBILLA,QLD,4428,149,11,6,E,26,35,12,S,55,717605,7057476,2061
,WAMURAN EXCHANGE,WAMU,1077,,,,D'AGUILAR,HWY,WAMURAN,QLD,4512,152,51,46,E,27,2,24,S,56,486386,7009120,2062
,WANDOAN TE,WAAN,,,,,NORTH,ST,WANDOAN,QLD,4419,149,57,45,E,26,7,17,S,55,796256,7107489,2383
CNR .IRA BUCKBY AND SAMSONVALE RDS.,WARNER EXCHANGE,WRNE,,,,,SAMSONVALE,RD,WARNER,QLD,4500,152,56,25,E,27,17,23,S,56,494080,6981465,2072
,WARRA SCAX & OPTICAL FIBRE,WARR,,,,,THORN,ST,WARRA,QLD,4411,150,55,22,E,26,55,50,S,56,293754,7019562,2078
,WARWICK TE,WARW,86,,,,GRAFTON,ST,WARWICK,QLD,4370,152,1,17,E,28,12,52,S,56,403968,6878647,2088
,WATERFORD EXCHANGE,WTFD,6,,,,JOHN,ST,WATERFORD,QLD,4133,153,7,59,E,27,41,27,S,56,513120,6937038,2093
,WATERSON SCAX,WATS,,,,,CRYSTALBROOK,RD,KELSEY VIA PROSERPINE,QLD,4800,148,29,37,E,20,20,42,S,55,655907,7749622,2095
,WEENGALLON SCAX,WEEN,,,,,BARWON,HWY,WEENGALLON VIA TALWOOD,QLD,4496,149,3,19,E,28,21,24,S,55,701438,6861560,2103
,WEIPA RT & EXCHANGE,WEPD,,,,,NORTHERN,AVE,WEIPA,QLD,4874,141,53,25,E,12,37,29,S,54,596683,8604189,2113
,WELLCAMP SCAX,WAMP,,,,,CECIL PLAINS,RD,WELLCAMP,QLD,4350,151,51,15,E,27,32,46,S,56,386864,6952545,2122
,WELLINGTON POINT EXCHANGE,WEPN,98,,,,COLLINGWOOD,RD,BIRKDALE,QLD,4159,153,13,20,E,27,29,51,S,56,521950,6958440,2125
,WESTBROOK EXCHANGE,WBRK,,,,,BUNKERS HILL SCHOOL,RD,WESTBROOK,QLD,4350,151,50,13,E,27,36,27,S,56,385228,6945728,2129
,WESTMAR EXCHANGE,WMAR,,,,,,,WESTMAR VIA ST GEORGE,QLD,4487,149,43,18,E,27,48,42,S,55,768124,6920678,2133
,WESTWOOD SCAX & RT,WEST,,,,,GALTON,ST,WESTWOOD,QLD,4702,150,9,30,E,23,37,13,S,56,210046,7384921,2382
,WHETSTONE SCAX,INGD,,,,,CUNNINGHAM,HWY,WHETSTONE VIA INGLEWOOD,QLD,4387,150,56,10,E,28,29,43,S,56,297985,6846186,2137
,WHITEROCK TE,WTRK,,,,,SHORT,ST,WHITE ROCK,QLD,4868,145,44,39,E,16,59,6,S,55,366316,8121670,2142
,WILLOWS SCAX,WLWS,,,,,WILLOWS,RD,WILLOWS VIA EMERALD,QLD,4720,147,32,17,E,23,44,23,S,55,554825,7374496,2152
,WILLOWVALE SCAX,WILW,,,,,MASSIE-WILLOWVALE,RD,ALLORA,QLD,4362,152,0,32,E,28,7,16,S,56,402656,6888977,2379
CNR BANNOCKBURN RD,WINDAROO EXCHANGE,WNRO,,,,,BEAUDESERT BEENLEIGH,RD,WINDAROO,QLD,4207,153,11,14,E,27,45,10,S,56,518456,6930168,2155
,WINDERA SCAX,WIND,,,,,GAYNDAH,RD,WINDERA VIA GAYNDAH,QLD,4625,151,49,58,E,26,2,37,S,56,383222,7118956,2187
,WINDORAH EXCHANGE,HADN,,,,,VICTORIA,ST,WINDORAH,QLD,4481,142,39,31,E,25,25,21,S,54,666817,7187247,2190
CORNER RILEY STREET  &,WINTON EXCHANGE & LINE DEPOT,WINT,,,,,OONDOOROO,ST,WINTON,QLD,4735,143,2,17,E,22,23,34,S,54,709804,7522270,2232
,WITHCOTT EXCHANGE,WITH,,,,,WARREGO,HWY,WITHCOTT,QLD,4352,152,2,28,E,27,32,54,S,56,405325,6952455,2234
,WITTA SCAX,WITT,,,,,CURRYMORE,RD,WITTA,QLD,4552,152,48,15,E,26,42,16,S,56,480526,7046298,10632
,WOLFDENE RSS,WENE,,,,,BEAUDESERT-BEENLEIGH,RD,WOLFFDENE,QLD,4207,153,10,49,E,27,47,34,S,56,517756,6925733,2236
,WOLVI SCAX,WOLV,,,,,KIN KIN,RD,WOLVI VIA GYMPIE,QLD,4570,152,50,59,E,26,9,3,S,56,484975,7107596,2237
,WONDAI SCAX,WDAI,26,,,,BRAMSTON,ST,WONDAI,QLD,4606,151,52,33,E,26,19,5,S,56,387792,7088617,2239
,WONDALLI SCAX,WONL,,,,,CUNNINGHAM,HWY,WONDALLI VIA GOONDIWINDI,QLD,4390,150,31,25,E,28,29,24,S,56,257585,6846007,2241
,WONGA SCAX & RT,WONG,,,,,MOSSMAN-DAINTREE,RD,WONGA BEACH,QLD,4873,145,24,42,E,16,22,38,S,55,330365,8188659,2668
CNR GUIFRE CRES,WONGALING BEACH EXCHANGE,MISS,,,,,TULLY-MISSION BEACH,RD,WONGALING BEACH,QLD,4852,145,55,31,E,17,56,1,S,55,386178,8016816,2495
,WOODBINE SCAX,WINE,,,,,EAST HALDON,RD,MOUNT SYLVIA VIA GATTON,QLD,4343,152,11,24,E,27,47,38,S,56,420204,6925359,2242
,WOODERSON SCAX & RT,CALP,1603,,,,TABLELAND,RD,NEILL CREEK VIA MOUNT LARCOM,QLD,4695,151,6,41,E,24,9,3,S,56,308105,7327771,2243
,WOODFORD EXCHANGE & LINE DEPOT,WOOD,34,,,,CORONATION,AVE,WOODFORD,QLD,4514,152,46,48,E,26,57,22,S,56,478160,7018400,2244
SOUTH OF SECOND AVE,WOODGATE SCAX & RT,WOTE,,,LOT,1,ACACIA,ST,WOODGATE,QLD,4660,152,33,44,E,25,6,7,S,56,455854,7223682,2246
,WOODSTOCK SCAX AND OPT FIBRE,WOCK,,,,,MAJORS CREEK,RD,WOODSTOCK,QLD,4816,146,50,10,E,19,35,52,S,55,482812,7833029,2250
,WOOLLOONGABBA EXCHANGE,WOBB,820,,,,MAIN,ST,WOOLLOONGABBA,QLD,4102,153,2,10,E,27,29,2,S,56,503567,6959967,2756
,WOOLOOGA SCAX,WOGA,,,,,BAUPLE,RD,WOOLOOGA,QLD,4570,152,23,24,E,26,3,0,S,56,438978,7118636,2255
,WOOMBYE EXCHANGE,WOOY,6,8,,,BARTS,ST,WOOMBYE,QLD,4559,152,57,47,E,26,39,33,S,56,496319,7051307,2258
,WOONGARRA RSS,WOON,,,,,ASHFIELD,RD,WOONGARRA,QLD,4670,152,24,38,E,24,52,13,S,56,440451,7249279,2259
STAPYLTON JACOBS WELL RD,WOONGOOLBA RSS,WLBA,,,,,MILL,ST,STEIGLITZ VIA BEENLEIGH,QLD,4207,153,19,13,E,27,44,46,S,56,531577,6930894,2260
,WOORABINDA SCAX,WOOB,,,,,,,WOORABINDA,QLD,4713,149,27,20,E,24,7,34,S,55,749563,7329614,2203
,WOOROOLIN SCAX,WLIN,,,,,MAIN,ST,WOOROOLIN,QLD,4608,151,48,58,E,26,24,39,S,56,381926,7078267,2261
,WULGURU EXCHANGE,WLGU,,,,,DOMMETT,ST,WULGURU,QLD,4811,146,49,39,E,19,18,48,S,55,481877,7864480,2266
,WURTULLA EXCHANGE,WURT,382,,,,NICKLIN,WAY,BOKARINA,QLD,4575,153,7,42,E,26,44,21,S,56,512762,7042447,2268
,WUTUL SCAX,CYAR,,,,,OAKEY-COOYAR,RD,WUTUL VIA COOYAR,QLD,4402,151,50,1,E,26,58,58,S,56,384252,7014930,2151
,WYAGA SCAX,WYAG,,,,,WYAGA-YELARBON,RD,WYAGA VIA GOONDIWINDI,QLD,4390,150,39,6,E,28,10,26,S,56,269450,6881300,2269
,WYCHIE SCAX,WHIE,,,,,STANKES,RD,WYCHIE VIA BRIGALOW,QLD,4412,150,49,43,E,26,43,43,S,56,284019,7041773,2279
,WYNNUM CENTRAL EXCHANGE,WYNM,161,,,,BAY,TCE,WYNNUM,QLD,4178,153,10,29,E,27,26,44,S,56,517266,6964202,2280
,WYREEMA SCAX,WYRE,,,,,STATION,ST,WYREEMA,QLD,4352,151,51,28,E,27,39,23,S,56,387334,6940331,2282
,YABULU EXCHANGE,YBLU,,,,,GREENVALE,RD,YABULU,QLD,4818,146,36,10,E,19,12,40,S,55,458244,7875752,2289
,YAKAPARI SCAX,YARI,,,,,BRUCE,HWY,HAMPDEN VIA MACKAY,QLD,4740,149,0,51,E,21,4,10,S,55,709262,7668833,2288
,YAMSION SCAX,YAMS,,,,,BUNYA MOUNTAINS,RD,YAMSION VIA DALBY,QLD,4405,151,34,46,E,26,58,36,S,56,359020,7015348,2292
,YANDARAN SCAX & RT,YAND,,,,,MAISEYS,RD,YANDARAN,QLD,4673,152,6,17,E,24,43,53,S,56,409455,7264491,2294
,YANDINA EXCHANGE,YINA,,,,,RAILWAY,ST,YANDINA,QLD,4561,152,57,34,E,26,33,30,S,56,495956,7062495,2295
,YANGAN SCAX,YANG,,,,,KING,ST,YANGAN,QLD,4371,152,12,28,E,28,11,47,S,56,422245,6880781,2298
,YARRABAH EXCHANGE,YBAH,,,,,YARRABAH,RD,KOOMBAL VIA YARRABAH,QLD,4871,145,52,16,E,16,54,32,S,55,379770,8130192,2299
,YARRAMAN SCAX & OPT FIBRE,YMAN,,,,,TOOMEY,ST,YARRAMAN,QLD,4614,151,58,54,E,26,50,27,S,56,398818,7030780,2300
,YARWUN SCAX,YARW,,,,,TARGINIE,RD,THE NARROWS VIA YARWUN,QLD,4694,151,7,38,E,23,50,43,S,56,309264,7361634,2304
,YATALA SCAX,BEEL,,,,,PACIFIC,HWY,YATALA,QLD,4207,,,,,,,,,,,,10422
,YELARBON SCAX,YELA,,,,,TALOOM,ST,YELARBON,QLD,4388,150,45,26,E,28,34,19,S,56,280630,6837375,2245
,YEPPOON EXCHANGE & RT,YEPP,,,,,MARY,ST,YEPPOON,QLD,4703,150,44,45,E,23,7,39,S,56,269178,7440568,2256
,YERONGA EXCHANGE,YRGA,696,702,,,IPSWICH,RD,ANNERLEY,QLD,4103,153,1,44,E,27,31,9,S,56,502853,6956060,2271
,YORKEYS KNOB EXCHANGE,YNOB,502,,,,VARLEY,ST,YORKEYS KNOB,QLD,4878,145,43,23,E,16,48,35,S,55,363931,8141041,2248
,YULEBA SCAX,YEBA,,,,,STEPHENSON,ST,YULEBA,QLD,4427,149,23,7,E,26,36,48,S,55,737502,7054165,2267
CNR PRESLEY RD &,YUNGABURRA SCAX,YUNG,,,,,GILLIES,HWY,YUNGABURRA,QLD,4872,145,35,0,E,17,16,11,S,55,349408,8090063,2274
,ZILLMERE EXCHANGE,ZMRE,34,,,,MULLER,RD,BOONDALL,QLD,4034,153,3,4,E,27,21,30,S,56,505044,6973868,2286
,AGERY EXCHANGE,AGRY,,,,,,,AGERY,SA,5558,137,42,24,E,34,8,10,S,53,749588,6219450,6131
,ALAWOONA EXCHANGE,ALWA,,,LOT,101,SECOND,ST,ALAWOONA,SA,5311,140,30,30,E,34,44,10,S,54,454986,6156107,4682
CNR HOW RD,ALDINGA EXCHANGE,ALDA,,,,,QUINLIVEN,RD,ALDINGA BEACH,SA,5173,138,28,13,E,35,16,6,S,54,269887,6094259,4675
,ALFORD EXCHANGE,ALFD,,,,,,,ALFORD,SA,5555,137,49,20,E,33,49,5,S,53,761219,6254429,10616
,ALLENDALE EAST EXCHANGE,ALEE,,,,,MCCABES,RD,ALLENDALE EAST,SA,5291,140,41,44,E,38,0,4,S,54,473271,5794012,4671
,AMERICAN RIVER EXCHANGE,AMRV,,,LOT,22,REDBANKS,RD,AMERICAN RIVER,SA,5221,137,46,1,E,35,46,49,S,53,750100,6036882,4663
,ANDAMOOKA EXCHANGE,ANDM,,,LOT,120,GOVERNMENT,RD,ANDAMOOKA,SA,5722,137,10,2,E,30,26,51,S,53,708098,6629628,6338
,ANGASTON EXCHANGE,ANGN,66,,,,MURRAY,ST,ANGASTON,SA,5353,139,2,47,E,34,30,3,S,54,320637,6180573,4594
,APPILA EXCHANGE,APLA,,,LOT,267,FIFTH,ST,APPILA,SA,5480,138,25,50,E,33,3,5,S,54,260074,6340077,5034
,ARDROSSAN EXCHANGE,ARDN,17,,,,FIRST,ST,ARDROSSAN,SA,5571,137,55,3,E,34,25,22,S,53,768124,6187099,5014
,ARNO BAY EXCHANGE,AOBY,4,,,,THIRD,ST,ARNO BAY,SA,5603,136,34,13,E,33,54,34,S,53,645172,6246767,4950
,ARTHURTON EXCHANGE,ARTH,,,PT LOT,82,NORTH,TCE,ARTHURTON,SA,5572,137,45,20,E,34,15,27,S,53,753734,6205850,4969
,AUBURN EXCHANGE,AUBN,,,LOT,1,YOUNG,ST,AUBURN,SA,5451,138,41,12,E,34,1,39,S,54,286411,6232376,4964
,AVENUE RANGE EXCHANGE,AERE,,,,,,,AVENUE RANGE,SA,5273,140,13,46,E,36,56,26,S,54,431383,5911438,4960
,AVON EXCHANGE,AVON,,,,,,,AVON,SA,5501,138,20,10,E,34,16,58,S,54,254778,6203271,4951
,BALAKLAVA EXCHANGE,BKVA,15,,,,HUMPHREY,ST,BALAKLAVA,SA,5461,138,24,58,E,34,8,48,S,54,261764,6218565,4920
,BALGOWAN EXCHANGE,BALW,,,LOT,544,,,BALGOWAN,SA,5573,137,31,30,E,34,18,55,S,53,732340,6199992,4923
,BALHANNAH EXCHANGE,BLNH,6,,,,BRIDGE,ST,BALHANNAH,SA,5242,138,49,38,E,34,59,22,S,54,301685,6125965,4932
,BANGHAM EXCHANGE,BGAM,,,PT SEC,12,,,FRANCES,SA,5262,140,53,16,E,36,32,38,S,54,489954,5955713,4939
,BANGOR EXCHANGE,BGOR,,,,,,,BANGOR,SA,5481,138,9,30,E,32,57,15,S,54,234356,6350205,4919
,BARMERA EXCHANGE,BMAA,,,LOT,511,HARDWICK,ST,BARMERA,SA,5345,140,28,1,E,34,15,21,S,54,450916,6209346,4911
COBDOGLA IRRIGATION AREA,BARMERA WEST EXCHANGE,BMAW,,,SEC,497,,,COBDOGLA,SA,5346,140,25,23,E,34,14,55,S,54,446871,6210124,4901
,BAROOTA EXCHANGE,BRTA,,,PT SEC,86,,,BAROOTA,SA,5495,137,59,50,E,32,55,30,S,53,780274,6353036,4891
,BAYLEY PLAINS EXCHANGE,BYPS,,,SEC,47,,,LOCK,SA,5633,135,57,17,E,33,33,19,S,53,588624,6286736,4867
,BEACHPORT EXCHANGE,BHPT,2,,,,CHAMBERS,ST,BEACHPORT,SA,5280,140,0,51,E,37,28,54,S,54,412839,5851229,4863
,BEAUFORT EXCHANGE,BFRT,,,SEC,638,,,PORT WAKEFIELD,SA,5550,138,13,50,E,34,4,7,S,54,244412,6226769,4857
,BELALIE NORTH EXCHANGE,BLIE,,,PT SEC,249,,,BELALIE NORTH VIA JAMESTOWN,SA,5491,138,41,45,E,33,7,0,S,54,285009,6333413,4843
,BERRI EXCHANGE,BERI,5,,,,WILSON,ST,BERRI,SA,5343,140,36,0,E,34,17,9,S,54,463179,6206075,4803
,BIRDWOOD EXCHANGE,BDWD,16,,,,SHANNON,ST,BIRDWOOD,SA,5234,138,57,17,E,34,49,14,S,54,312941,6144944,4931
,BISCUIT FLAT EXCHANGE,BFLT,,,SEC,387,,,REEDY CREEK VIA KINGSTON SE,SA,5275,140,5,36,E,37,6,16,S,54,419437,5893150,4927
,BLACK ROCK EXCHANGE,BLRK,,,LOT,1,GOVERNMENT,RD,BLACK ROCK,SA,5430,138,44,24,E,32,52,59,S,54,288573,6359409,4917
,BLACKFORD EXCHANGE,BKFD,,,LOT,99,TWO CHAIN,RD,KINGSTON SE,SA,5275,140,1,25,E,36,45,52,S,54,412855,5930808,4913
,BLACKWOOD EXCHANGE,BKWD,260,,,,MAIN,RD,BLACKWOOD,SA,5051,138,36,58,E,35,1,16,S,54,282498,6122013,4906
,BLANCHETOWN EXCHANGE,BCHT,,,LOT,158,MEADE,ST,BLANCHETOWN,SA,5357,139,36,45,E,34,21,8,S,54,372389,6197913,4890
,BLYTH EXCHANGE,BLYH,7,,,,AUGUST,ST,BLYTH,SA,5462,138,29,23,E,33,50,41,S,54,267727,6252220,4881
,BOOBOROWIE EXCHANGE,BOOB,,,LOT,102,THIRD,ST,BOOBOROWIE,SA,5417,138,45,30,E,33,33,50,S,54,291909,6283941,4876
,BOOLEROO CENTRE EXCHANGE,BLRC,,,LOT,101,AVICE,ST,BOOLEROO CENTRE,SA,5482,138,21,5,E,32,52,50,S,54,252202,6358840,4874
,BORDERTOWN EXCHANGE,BDTN,24,,,,DENSLEY,AVE,BORDERTOWN,SA,5268,140,45,49,E,36,18,21,S,54,478777,5982103,4845
,BORRIKA EXCHANGE,BRKA,,,LOT,73,SECOND,ST,BORRIKA,SA,5309,140,2,59,E,35,1,21,S,54,413304,6124045,4994
,BOWHILL EXCHANGE,BOWH,,,LOT,13,,,BOWHILL,SA,5238,139,37,23,E,34,53,38,S,54,374186,6137854,4997
,BRAY EXCHANGE,BRAY,,,PT SEC,27,,,ROBE,SA,5276,139,59,24,E,37,16,41,S,54,410460,5873796,4999
,BRECON EXCHANGE,BREC,,,LOT,205,GOVERNMENT,RD,KEITH,SA,5267,140,20,30,E,36,14,1,S,54,440839,5989934,5000
,BRENTWOOD EXCHANGE,BTWD,,,LOT,46,,,BRENTWOOD,SA,5575,137,27,40,E,34,53,26,S,53,724902,6136335,5001
,BRIGHTON EXCHANGE,BRIH,1,5,,,HARTLEY,RD,BRIGHTON,SA,5048,138,31,20,E,35,1,6,S,54,273922,6122112,5002
,BRIMBAGO EXCHANGE,BRBO,,,SEC,141,,,KEITH,SA,5267,140,28,22,E,36,10,11,S,54,452582,5997093,5013
,BRINKLEY EXCHANGE,BRLY,,,LOT,648,GOVERNMENT,RD,MURRAY BRIDGE,SA,5254,139,13,19,E,35,13,45,S,54,338191,6100089,5018
,BRINKWORTH EXCHANGE,BKWH,,,LOT,2,WILLIAM,ST,BRINKWORTH,SA,5464,138,24,8,E,33,41,44,S,54,259212,6268565,5023
,BROOKER EXCHANGE,BRKR,,,PT SEC,34,,,YEELANNA,SA,5632,135,55,50,E,34,3,37,S,53,585869,6230774,5189
,BROOKLYN PARK EXCHANGE,AASS,34,,,,AIRPORT,RD,BROOKLYN PARK,SA,5032,138,32,29,E,34,55,50,S,54,275442,6131889,12421
,BUCCLEUCH (PEAKE) EXCHANGE (SC,PEKE,,,,16,MAIN,RD,BUCCLEUCH,SA,5301,139,52,39,E,35,20,2,S,54,397983,6089347,9225
,BUCKLEBOO EXCHANGE,BCBO,,,,,,,BUCKLEBOO,SA,5641,136,9,52,E,32,56,53,S,53,608856,6353874,5184
,BULL CREEK EXCHANGE,BULK,,,LOT,8,SPRING GULLY,RD,BULL CREEK,SA,5157,138,45,55,E,35,14,23,S,54,296654,6098078,5183
,BUNDALEER NORTH EXCHANGE,BNLN,,,SEC,292,JAMESTOWN,RD,JAMESTOWN,SA,5491,138,35,35,E,33,21,10,S,54,276021,6307011,5178
,BURDETT EXCHANGE,BDTT,,,,,,,MURRAY BRIDGE,SA,5253,139,27,58,E,35,2,38,S,54,360095,6121010,5177
CORNER KINGSTON STREET &,BURRA EXCHANGE,BURA,,,LOT,298,BRIDGE,TCE,BURRA,SA,5417,138,56,26,E,33,40,53,S,54,309086,6271262,5175
,BUTE EXCHANGE,BUTE,,,,,RAILWAY,TCE,BUTE,SA,5560,138,0,45,E,33,52,5,S,54,223633,6248450,8005
,BUTLER BRIDGE EXCHANGE,BUTB,,,SEC,1119,,,PORT PIRIE,SA,5540,137,59,40,E,33,17,30,S,53,778852,6312372,6125
,BUTLER TANKS EXCHANGE,BRTS,,,SEC,78,BUTLER CENTRE,RD,BUTLER TANKS,SA,5605,136,10,12,E,34,6,19,S,53,607922,6225544,5173
,CADELL EXCHANGE (SCAX),CDLL,,,,,,,CADELL,SA,5321,139,45,39,E,34,2,52,S,54,385622,6231850,5172
,CADGEE EXCHANGE,CDGE,,,,,,,HYNAM,SA,5262,140,46,52,E,36,45,35,S,54,480461,5931755,5171
,CALCA EXCHANGE (SCAX),CLCA,,,,,,,CALCA,SA,5671,134,26,47,E,33,1,50,S,53,448300,6345181,5170
,CALLINGTON EXCHANGE (SCAX),CGTN,,,PART LO,6,PRINCES,HWY,CALLINGTON,SA,5254,139,1,42,E,35,5,37,S,54,320272,6114792,2943
,CALOOTE EXCHANGE (SCAX),CLTE,,,LOT,2,TEPKO,RD,CALOOTE,SA,5254,139,14,0,E,34,58,24,S,54,338724,6128484,5166
,CALTOWIE EXCHANGE,CTOW,,,LOT,54,BROWN,ST,CALTOWIE,SA,5490,138,29,15,E,33,10,55,S,54,265740,6325726,2938
,CAMBRAI EXCHANGE (SCAX),CMBR,,,,,,,CAMBRAI,SA,5353,139,16,49,E,34,39,13,S,54,342401,6164019,5163
,CANGARA EXCHANGE (SCAX),BDTN,,,,,,,CANGARA,SA,5268,140,47,15,E,36,9,46,S,54,480885,5997972,9247
,CANNAWIGARA EXCHANGE (SCAX),MLAW,,,,,,,CANNAWIGARA,SA,5268,140,37,58,E,36,18,21,S,54,467029,5982062,5195
,CANOWIE BELT EXCHANGE (SCAX),CNOW,,,,,,,JAMESTOWN,SA,5491,138,45,53,E,33,11,56,S,54,291632,6324434,5193
,CAPE JAFFA EXCHANGE (SCAX),CEJA,,,,,,,MOUNT BENSON,SA,5275,139,43,38,E,36,57,17,S,54,386683,5909388,5192
,CARPENTER ROCKS EXCHANGE (SCAX,CSRS,,,,13,PELICAN POINT,RD,CARPENTER ROCKS,SA,5291,140,23,55,E,37,54,43,S,54,447136,5803778,2945
